currency,date,matching_strategy_ids,policy_count
KZT,2023-11-16,level_L120_p80,1
KZT,2023-11-22,level_L120_p80,1
KZT,2023-11-28,level_L120_p80,1
KZT,2023-12-15,level_L120_p80,1
KZT,2024-01-12,level_L120_p80,1
KZT,2024-01-18,level_L120_p80,1
KZT,2024-06-05,level_L120_p80,1
KZT,2024-06-14,level_L120_p80,1
KZT,2024-06-20,level_L120_p80,1
KZT,2024-06-26,level_L120_p80,1
KZT,2024-07-02,level_L120_p80,1
KZT,2024-07-06,level_L120_p80,1
KZT,2024-07-12,level_L120_p80,1
KZT,2024-07-18,level_L120_p80,1
KZT,2024-07-24,level_L120_p80,1
KZT,2024-07-30,level_L120_p80,1
KZT,2024-08-03,level_L120_p80,1
KZT,2024-08-09,level_L120_p80,1
KZT,2024-08-16,level_L120_p80,1
KZT,2024-09-04,level_L120_p80,1
KZT,2025-01-22,level_L120_p80,1
KZT,2025-01-28,level_L120_p80,1
KZT,2025-02-01,level_L120_p80,1
KZT,2025-02-07,level_L120_p80,1
KZT,2025-02-13,level_L120_p80,1
KZT,2025-02-19,level_L120_p80,1
KZT,2025-02-25,level_L120_p80,1
KZT,2025-03-01,level_L120_p80,1
KZT,2025-03-07,level_L120_p80,1
KZT,2025-03-13,level_L120_p80,1
KZT,2025-03-19,level_L120_p80,1
KZT,2025-03-25,level_L120_p80,1
KZT,2025-03-29,level_L120_p80,1
KZT,2025-04-04,level_L120_p80,1
KZT,2025-04-10,level_L120_p80,1
KZT,2025-04-16,level_L120_p80,1
KZT,2025-04-22,level_L120_p80,1
KZT,2025-04-26,level_L120_p80,1
KZT,2025-05-06,level_L120_p80,1
KZT,2025-05-14,level_L120_p80,1
KZT,2025-05-20,level_L120_p80,1
KZT,2025-05-24,level_L120_p80,1
KZT,2025-05-30,level_L120_p80,1
KZT,2025-06-05,level_L120_p80,1
KZT,2025-06-11,level_L120_p80,1
KZT,2025-06-19,level_L120_p80,1
KZT,2025-06-25,level_L120_p80,1
KZT,2025-07-01,level_L120_p80,1
KZT,2025-07-05,level_L120_p80,1
KZT,2025-07-11,level_L120_p80,1
KZT,2025-07-17,level_L120_p80,1
KZT,2025-07-23,level_L120_p80,1
KZT,2025-07-29,level_L120_p80,1
KZT,2025-08-02,level_L120_p80,1
KZT,2025-08-08,level_L120_p80,1
KZT,2025-08-14,level_L120_p80,1
KZT,2025-08-20,level_L120_p80,1
KZT,2025-10-02,level_L120_p80,1
KZT,2025-10-15,level_L120_p80,1
KZT,2025-10-28,level_L120_p80,1
KZT,2026-05-20,level_L120_p80,1
KZT,2026-05-26,level_L120_p80,1
KZT,2026-05-30,level_L120_p80,1
KZT,2026-06-05,level_L120_p80,1
KZT,2026-06-11,level_L120_p80,1
KZT,2026-06-18,level_L120_p80,1
TJS,2024-06-20,level_L250_p95,1
TJS,2024-06-28,level_L250_p95,1
TJS,2024-07-26,level_L250_p95,1
TJS,2024-08-06,level_L250_p95,1
TJS,2025-02-21,level_L250_p95,1
TJS,2025-02-27,level_L250_p95,1
TJS,2025-03-12,level_L250_p95,1
TJS,2025-03-18,level_L250_p95,1
TJS,2025-03-22,level_L250_p95,1
TJS,2025-03-28,level_L250_p95,1
TJS,2025-04-03,level_L250_p95,1
TJS,2025-04-12,level_L250_p95,1
TJS,2025-04-18,level_L250_p95,1
TJS,2025-04-30,level_L250_p95,1
TJS,2026-05-19,level_L250_p95,1
TJS,2026-05-23,level_L250_p95,1
TJS,2026-05-29,level_L250_p95,1
TJS,2026-06-10,level_L250_p95,1
