currency,strategy_id,strategy_family,selected_signal_family,policy,horizon,signal_count,total_push_count,evaluated_signal_count,signals_per_week,market_signals_per_week,quality_scope,active_weeks,active_week_share,weekly_count_cv,median_gap_days,p90_gap_days,max_gap_days,hit_rate,hit_target,random_hit_rate_mean,random_hit_rate_p05,random_hit_rate_p95,hit_lift,hit_uplift_ratio,hit_rate_10bp,random_hit_rate_10bp_mean,hit_uplift_ratio_10bp,hit_rate_25bp,random_hit_rate_25bp_mean,hit_uplift_ratio_25bp,forward_hold_rate,random_forward_hold_rate_mean,forward_hold_uplift_ratio,forward_hold_rate_10bp,random_forward_hold_rate_10bp_mean,forward_hold_uplift_ratio_10bp,forward_hold_rate_25bp,random_forward_hold_rate_25bp_mean,forward_hold_uplift_ratio_25bp,local_min_hit_rate,random_local_min_hit_rate_mean,local_min_uplift_ratio,local_min_hit_rate_10bp,random_local_min_hit_rate_10bp_mean,local_min_uplift_ratio_10bp,local_min_hit_rate_25bp,random_local_min_hit_rate_25bp_mean,local_min_uplift_ratio_25bp,hit_p_value,week_matched_random_hit_rate_mean,week_matched_hit_lift,week_matched_hit_p_value,benefit_bps,benefit_ci_low_95,benefit_ci_high_95,benefit_p_value_vs_zero,forward_change_bps,random_forward_change_bps_mean,future_regret_bps,random_future_regret_bps_mean,first_signal,last_signal
AMD,momentum_streak_2d__spike_only,spike_policy,spike_policy,spike_only,2,86,86,86,0.5548387096774193,0.5548387096774193,pure_spike_signals,85,0.5483870967741935,0.9188254076808565,10.0,24.0,46.0,0.27906976744186046,no_lower_price_in_next_h_observations,0.4045348837209302,0.32558139534883723,0.477325581395349,0.6898534061511928,0.6898534061511928,0.313953488372093,0.4564341085271316,0.6878396739130437,0.4186046511627907,0.5279844961240311,0.7928351196593745,0.27906976744186046,0.4045348837209302,0.6898534061511928,0.313953488372093,0.4564341085271316,0.6878396739130437,0.4186046511627907,0.5279844961240311,0.7928351196593745,0.27906976744186046,0.12015503875968993,2.32258064516129,0.313953488372093,0.15476744186046512,2.02854996243426,0.4186046511627907,0.23472868217054266,1.7833553500660502,0.9933554817275747,0.282906976744186,0.9864364981504317,0.6079734219269103,23.251981873234797,16.229566128349852,31.24789017952123,0.0033222591362126247,-45.53611053677255,0.5939577314484581,89.92656013895525,58.86648181213759,2023-09-12,2026-08-22
AMD,momentum_streak_3d__spike_only,spike_policy,spike_policy,spike_only,2,51,51,51,0.32903225806451614,0.32903225806451614,pure_spike_signals,50,0.3225806451612903,1.4691496231317012,17.0,37.60000000000001,68.0,0.3137254901960784,no_lower_price_in_next_h_observations,0.4057516339869282,0.29411764705882354,0.5098039215686274,0.7731958762886596,0.7731958762886596,0.35294117647058826,0.45869281045751636,0.7694499857509262,0.4117647058823529,0.5235947712418301,0.7864186743228061,0.3137254901960784,0.4057516339869282,0.7731958762886596,0.35294117647058826,0.45869281045751636,0.7694499857509262,0.4117647058823529,0.5235947712418301,0.7864186743228061,0.3137254901960784,0.12529411764705883,2.5039123630672924,0.35294117647058826,0.15973856209150325,2.2094926350245503,0.4117647058823529,0.2345098039215686,1.7558528428093647,0.9368770764119602,0.26248366013071894,1.1952191235059761,0.22591362126245848,46.17337232521417,28.55276383435419,67.86270952830652,0.0033222591362126247,-13.702901574438975,0.12837366668230352,77.45209536201283,59.15363787081551,2023-09-13,2026-07-04
AMD,momentum_streak_4d__spike_only,spike_policy,spike_policy,spike_only,2,31,31,31,0.2,0.2,pure_spike_signals,31,0.2,2.0,24.0,70.70000000000002,124.0,0.3225806451612903,no_lower_price_in_next_h_observations,0.41021505376344086,0.2903225806451613,0.5483870967741935,0.7863695937090432,0.7863695937090432,0.3548387096774194,0.4601075268817205,0.7712082262210795,0.3548387096774194,0.5244086021505376,0.6766454787779372,0.3225806451612903,0.41021505376344086,0.7863695937090432,0.3548387096774194,0.4601075268817205,0.7712082262210795,0.3548387096774194,0.5244086021505376,0.6766454787779372,0.3225806451612903,0.1268817204301075,2.5423728813559325,0.3548387096774194,0.15849462365591396,2.238805970149254,0.3548387096774194,0.2356989247311828,1.5054744525547445,0.8870431893687708,0.2063440860215054,1.563314226159458,0.059800664451827246,42.085286912331775,28.213410305487102,55.11668059206261,0.0033222591362126247,-22.01528113334914,0.3235989487592009,77.4342106153126,59.35413090340243,2023-10-04,2026-05-22
AMD,momentum_streak_5d__spike_only,spike_policy,spike_policy,spike_only,2,15,15,15,0.0967741935483871,0.0967741935483871,pure_spike_signals,15,0.0967741935483871,3.055050463303893,31.0,178.00000000000009,241.0,0.4666666666666667,no_lower_price_in_next_h_observations,0.398,0.2,0.6,1.1725293132328307,1.1725293132328307,0.4666666666666667,0.4524444444444445,1.0314341846758348,0.4666666666666667,0.5211111111111111,0.8955223880597015,0.4666666666666667,0.398,1.1725293132328307,0.4666666666666667,0.4524444444444445,1.0314341846758348,0.4666666666666667,0.5211111111111111,0.8955223880597015,0.4666666666666667,0.12844444444444444,3.633217993079585,0.4666666666666667,0.16266666666666665,2.8688524590163937,0.4666666666666667,0.242,1.928374655647383,0.4053156146179402,0.3044444444444444,1.5328467153284673,0.09302325581395349,58.41847453981042,23.838830195911676,104.70826441237723,0.013289036544850499,38.187596481132765,-3.1215734447703563,71.85534675079853,61.178649743198136,2023-10-05,2026-05-13
KGS,momentum_streak_2d__spike_only,spike_policy,spike_policy,spike_only,2,89,89,89,0.5741935483870968,0.5741935483870968,pure_spike_signals,85,0.5483870967741935,0.9476913655712156,9.0,24.0,35.0,0.29213483146067415,no_lower_price_in_next_h_observations,0.3928838951310862,0.3258426966292135,0.47191011235955055,0.7435653002859866,0.7435653002859866,0.34831460674157305,0.46044943820224715,0.7564665690580772,0.39325842696629215,0.5280524344569288,0.7447336690545429,0.29213483146067415,0.3928838951310862,0.7435653002859866,0.34831460674157305,0.46044943820224715,0.7564665690580772,0.39325842696629215,0.5280524344569288,0.7447336690545429,0.29213483146067415,0.11779026217228462,2.4801271860095393,0.34831460674157305,0.17269662921348317,2.0169160702667535,0.39325842696629215,0.2515730337078651,1.5631978561857978,0.9933554817275747,0.26456928838951316,1.104190260475651,0.292358803986711,19.46328723207151,10.507433997830814,27.63538231222282,0.0033222591362126247,-44.98779634381835,-1.7769008368776236,85.69188926950773,58.42130500352701,2023-09-12,2026-08-21
KGS,momentum_streak_3d__spike_only,spike_policy,spike_policy,spike_only,2,55,55,55,0.3548387096774194,0.3548387096774194,pure_spike_signals,54,0.34838709677419355,1.3858792000116003,15.5,39.500000000000014,98.0,0.3090909090909091,no_lower_price_in_next_h_observations,0.39254545454545453,0.2909090909090909,0.4909090909090909,0.7874015748031497,0.7874015748031497,0.4,0.4577575757575757,0.8738249702105125,0.45454545454545453,0.5249090909090908,0.8659508139937654,0.3090909090909091,0.39254545454545453,0.7874015748031497,0.4,0.4577575757575757,0.8738249702105125,0.45454545454545453,0.5249090909090908,0.8659508139937654,0.3090909090909091,0.11945454545454545,2.5875190258751903,0.4,0.1727878787878788,2.3149772009821117,0.45454545454545453,0.247030303030303,1.840039254170756,0.9335548172757475,0.23157575757575757,1.3347291285003926,0.06976744186046512,47.113488585048714,31.283733726504604,71.31400000391312,0.0033222591362126247,-0.7326394554312458,-2.004567374484195,67.0589695855355,58.2553410629947,2023-09-13,2026-08-22
KGS,momentum_streak_4d__spike_only,spike_policy,spike_policy,spike_only,2,32,32,32,0.2064516129032258,0.2064516129032258,pure_spike_signals,32,0.2064516129032258,1.9605483926697653,21.0,70.0,124.0,0.3125,no_lower_price_in_next_h_observations,0.39697916666666666,0.28125,0.53125,0.7871949619522435,0.7871949619522435,0.40625,0.46479166666666666,0.8740475123263111,0.46875,0.5304166666666666,0.8837391987431265,0.3125,0.39697916666666666,0.7871949619522435,0.40625,0.46479166666666666,0.8740475123263111,0.46875,0.5304166666666666,0.8837391987431265,0.3125,0.12010416666666666,2.6019080659150045,0.40625,0.17541666666666667,2.315914489311164,0.46875,0.253125,1.8518518518518519,0.8870431893687708,0.1975,1.5822784810126582,0.05647840531561462,50.820597287161675,30.43211226648443,75.16872782477296,0.0033222591362126247,-1.7220778520776783,-2.241837064144593,58.57028600043411,57.71935673559468,2023-10-25,2026-07-28
KGS,momentum_streak_5d__spike_only,spike_policy,spike_policy,spike_only,2,16,16,16,0.1032258064516129,0.1032258064516129,pure_spike_signals,16,0.1032258064516129,2.9474565306378993,34.0,134.6,202.0,0.375,no_lower_price_in_next_h_observations,0.38395833333333335,0.1875,0.5625,0.9766684753119913,0.9766684753119913,0.375,0.44708333333333333,0.8387698042870456,0.5,0.5122916666666667,0.9760065067100446,0.375,0.38395833333333335,0.9766684753119913,0.375,0.44708333333333333,0.8387698042870456,0.5,0.5122916666666667,0.9760065067100446,0.375,0.1225,3.061224489795918,0.375,0.17895833333333333,2.0954598370197903,0.5,0.24895833333333334,2.00836820083682,0.6212624584717608,0.24645833333333333,1.521555367709214,0.132890365448505,33.19791613664191,16.04378910329703,55.90128729591306,0.009966777408637873,-12.568960542855763,-5.133946113190423,65.1362347860797,59.443831014888325,2023-10-26,2026-05-13
KZT,momentum_streak_2d__spike_only,spike_policy,spike_policy,spike_only,2,95,95,95,0.6129032258064516,0.6129032258064516,pure_spike_signals,90,0.5806451612903226,0.8962834929434947,9.0,18.700000000000003,49.0,0.3684210526315789,no_lower_price_in_next_h_observations,0.3947719298245614,0.3263157894736842,0.47368421052631576,0.9332503777442005,0.9332503777442005,0.37894736842105264,0.4394736842105263,0.8622754491017964,0.5052631578947369,0.5055438596491227,0.9994447529150473,0.3684210526315789,0.3947719298245614,0.9332503777442005,0.37894736842105264,0.4394736842105263,0.8622754491017964,0.5052631578947369,0.5055438596491227,0.9994447529150473,0.3684210526315789,0.14414035087719299,2.555988315481986,0.37894736842105264,0.17831578947368423,2.125147579693034,0.5052631578947369,0.23287719298245615,2.169654964592436,0.7541528239202658,0.3080350877192982,1.1960359949880397,0.10299003322259136,46.50619445060185,30.485452212154854,62.031036449797206,0.0033222591362126247,-1.8897177992189014,-2.105296494171239,72.96467082190709,68.0422161267223,2023-09-12,2026-07-28
KZT,momentum_streak_3d__spike_only,spike_policy,spike_policy,spike_only,2,49,49,49,0.3161290322580645,0.3161290322580645,pure_spike_signals,49,0.3161290322580645,1.4708043058552858,17.0,37.20000000000002,52.0,0.3877551020408163,no_lower_price_in_next_h_observations,0.39693877551020407,0.2857142857142857,0.5102040816326531,0.9768637532133676,0.9768637532133676,0.40816326530612246,0.4444897959183673,0.9182736455463729,0.5102040816326531,0.508639455782313,1.003076100040123,0.3877551020408163,0.39693877551020407,0.9768637532133676,0.40816326530612246,0.4444897959183673,0.9182736455463729,0.5102040816326531,0.508639455782313,1.003076100040123,0.3877551020408163,0.14680272108843537,2.6413345690454126,0.40816326530612246,0.1842176870748299,2.215657311669129,0.5102040816326531,0.2361904761904762,2.160138248847926,0.6112956810631229,0.2555102040816326,1.5175718849840258,0.019933554817275746,50.85517653152517,32.74196977032114,71.07289408334569,0.0033222591362126247,15.297798270266858,-1.7794328049882593,52.059424251754116,67.69479964858074,2023-09-13,2026-06-10
