strategy_id,train_total_push_count,train_evaluated_signal_count,train_signals_per_week,train_hit_rate,train_random_hit_rate,train_hit_lift,train_benefit_bps,frequency_distance,sample_gate,frequency_gate,lift_gate,benefit_gate,gates_met,currency,policy,signal_family,selection_horizon,fold_start,fold_end,meets_all_train_gates
momentum_streak_3d__spike_only,62,62,0.30097087378640774,0.43548387096774194,0.38703140830800403,1.125190001688904,55.016460951198745,0.6990291262135923,True,False,False,True,2,AMD,spike_only,spike,2,2018-01-01,2019-01-01,False
momentum_streak_3d__spike_only,71,71,0.27626459143968873,0.4507042253521127,0.39303079416531606,1.1467402352257876,50.51373888201592,0.7237354085603113,True,False,False,True,2,AMD,spike_only,spike,2,2019-01-01,2020-01-01,False
momentum_streak_3d__spike_only,85,85,0.275974025974026,0.4235294117647059,0.3864864864864865,1.0958453311394487,47.00969640539225,0.724025974025974,True,False,False,True,2,AMD,spike_only,spike,2,2020-01-01,2021-01-01,False
momentum_streak_3d__spike_only,100,100,0.2777777777777778,0.39,0.3871154962275102,1.0074512743628186,47.432564274204296,0.7222222222222222,True,False,False,True,2,AMD,spike_only,spike,2,2021-01-01,2022-01-01,False
momentum_streak_3d__spike_only,117,117,0.2846715328467153,0.4017094017094017,0.38863521055301875,1.0336412934324162,44.32250412877561,0.7153284671532847,True,False,False,True,2,AMD,spike_only,spike,2,2022-01-01,2023-01-01,False
momentum_streak_3d__spike_only,134,134,0.29004329004329005,0.40298507462686567,0.38999098286744815,1.0333189543611423,51.70006093045531,0.7099567099567099,True,False,False,True,2,AMD,spike_only,spike,2,2023-01-01,2024-01-01,False
momentum_streak_3d__spike_only,149,149,0.290448343079922,0.3959731543624161,0.4,0.9899328859060402,49.43551869604885,0.7095516569200779,True,False,False,True,2,AMD,spike_only,spike,2,2024-01-01,2025-01-01,False
momentum_streak_3d__spike_only,166,166,0.29432624113475175,0.4036144578313253,0.40508661997788425,0.9963658090049005,50.059490333884284,0.7056737588652482,True,False,False,True,2,AMD,spike_only,spike,2,2025-01-01,2026-01-01,False
momentum_streak_3d__spike_only,185,185,0.3008130081300813,0.3837837837837838,0.3989864864864865,0.9618966977138019,49.02572584477021,0.6991869918699187,True,False,False,True,2,AMD,spike_only,spike,2,2026-01-01,2026-09-03,False
momentum_streak_3d__spike_only,64,64,0.3106796116504854,0.40625,0.3819655521783181,1.0635775862068966,59.29193835317615,0.6893203883495146,True,False,False,True,2,KGS,spike_only,spike,2,2018-01-01,2019-01-01,False
momentum_streak_3d__spike_only,74,74,0.28793774319066145,0.40540540540540543,0.3905996758508914,1.0379051250420546,54.54059115533571,0.7120622568093385,True,False,False,True,2,KGS,spike_only,spike,2,2019-01-01,2020-01-01,False
momentum_streak_3d__spike_only,90,90,0.2922077922077922,0.3888888888888889,0.3810810810810811,1.020488573680063,49.072643677699986,0.7077922077922079,True,False,False,True,2,KGS,spike_only,spike,2,2020-01-01,2021-01-01,False
momentum_streak_3d__spike_only,106,106,0.29444444444444445,0.4056603773584906,0.3830528148578062,1.059019439679817,53.48827321293023,0.7055555555555555,True,False,False,True,2,KGS,spike_only,spike,2,2021-01-01,2022-01-01,False
momentum_streak_3d__spike_only,124,124,0.30170316301703165,0.3870967741935484,0.38254693049213595,1.0118935569436125,49.874919357428716,0.6982968369829683,True,False,False,True,2,KGS,spike_only,spike,2,2022-01-01,2023-01-01,False
momentum_streak_5d__spike_only,40,40,0.08658008658008658,0.4,0.3854824165915239,1.0376608187134504,69.15893973388802,0.9134199134199135,True,False,False,True,2,KGS,spike_only,spike,2,2023-01-01,2024-01-01,False
momentum_streak_5d__spike_only,46,46,0.08966861598440545,0.391304347826087,0.39634888438133875,0.9872724845356237,63.84440210608767,0.9103313840155945,True,False,False,True,2,KGS,spike_only,spike,2,2024-01-01,2025-01-01,False
momentum_streak_5d__spike_only,50,50,0.08865248226950355,0.42,0.402506450423885,1.0434615384615384,61.65811726585869,0.9113475177304965,True,False,False,True,2,KGS,spike_only,spike,2,2025-01-01,2026-01-01,False
momentum_streak_5d__spike_only,56,56,0.0910569105691057,0.39285714285714285,0.3952702702702703,0.9938949938949938,58.494439268636505,0.9089430894308943,True,False,False,True,2,KGS,spike_only,spike,2,2026-01-01,2026-09-03,False
momentum_streak_3d__spike_only,66,66,0.32038834951456313,0.45454545454545453,0.3829787234042553,1.1868686868686869,52.755248331242946,0.6796116504854368,True,False,False,True,2,KZT,spike_only,spike,2,2018-01-01,2019-01-01,False
momentum_streak_3d__spike_only,77,77,0.29961089494163423,0.42857142857142855,0.3824959481361426,1.12046004842615,47.68505487646853,0.7003891050583657,True,False,False,True,2,KZT,spike_only,spike,2,2019-01-01,2020-01-01,False
momentum_streak_3d__spike_only,100,100,0.3246753246753247,0.42,0.3695945945945946,1.136380255941499,39.721948731960325,0.6753246753246753,True,False,False,True,2,KZT,spike_only,spike,2,2020-01-01,2021-01-01,False
momentum_streak_3d__spike_only,119,119,0.33055555555555555,0.42857142857142855,0.3702843876958793,1.157411553963278,42.105665134778754,0.6694444444444445,True,False,False,True,2,KZT,spike_only,spike,2,2021-01-01,2022-01-01,False
momentum_streak_3d__spike_only,138,138,0.3357664233576642,0.4057971014492754,0.3647894469812278,1.1124145854749956,38.394151075042565,0.6642335766423357,True,False,False,True,2,KZT,spike_only,spike,2,2022-01-01,2023-01-01,False
momentum_streak_3d__spike_only,153,153,0.33116883116883117,0.39869281045751637,0.3651938683498647,1.0917292019688536,41.01273910518424,0.6688311688311688,True,False,False,True,2,KZT,spike_only,spike,2,2023-01-01,2024-01-01,False
momentum_streak_3d__spike_only,168,168,0.32748538011695905,0.39880952380952384,0.37403651115618664,1.0662315359983472,40.77248555595375,0.672514619883041,True,False,False,True,2,KZT,spike_only,spike,2,2024-01-01,2025-01-01,False
momentum_streak_3d__spike_only,185,185,0.3280141843971631,0.3945945945945946,0.3767047548838924,1.0474903474903474,40.20397376366626,0.6719858156028369,True,False,False,True,2,KZT,spike_only,spike,2,2025-01-01,2026-01-01,False
momentum_streak_5d__spike_only,51,51,0.08292682926829269,0.43137254901960786,0.37263513513513513,1.1576271487742877,42.711055849875606,0.9170731707317074,True,False,False,True,2,KZT,spike_only,spike,2,2026-01-01,2026-09-03,False
momentum_streak_3d__spike_only,60,60,0.2912621359223301,0.36666666666666664,0.37487335359675783,0.9781081081081081,58.76943567927113,0.7087378640776699,True,False,False,True,2,TJS,spike_only,spike,2,2018-01-01,2019-01-01,False
momentum_streak_3d__spike_only,70,70,0.2723735408560311,0.37142857142857144,0.37844408427876824,0.9814622208626491,54.38506701214584,0.727626459143969,True,False,False,True,2,TJS,spike_only,spike,2,2019-01-01,2020-01-01,False
momentum_streak_3d__spike_only,88,88,0.2857142857142857,0.3522727272727273,0.37432432432432433,0.9410895963242534,47.44505044085972,0.7142857142857143,True,False,False,True,2,TJS,spike_only,spike,2,2020-01-01,2021-01-01,False
momentum_streak_5d__spike_only,30,30,0.08333333333333333,0.5,0.375507835171213,1.3315301391035548,60.16412752589208,0.9166666666666666,True,False,True,True,3,TJS,spike_only,spike,2,2021-01-01,2022-01-01,True
momentum_streak_5d__spike_only,34,34,0.0827250608272506,0.47058823529411764,0.3744292237442922,1.2568149210903874,54.58805016520609,0.9172749391727494,True,False,True,True,3,TJS,spike_only,spike,2,2022-01-01,2023-01-01,True
momentum_streak_5d__spike_only,40,40,0.08658008658008658,0.45,0.37962128043282234,1.1853919239904989,54.043085210840715,0.9134199134199135,True,False,False,True,2,TJS,spike_only,spike,2,2023-01-01,2024-01-01,False
momentum_streak_5d__spike_only,45,45,0.08771929824561403,0.4444444444444444,0.39107505070993914,1.136468418626095,51.53703983320908,0.9122807017543859,True,False,False,True,2,TJS,spike_only,spike,2,2024-01-01,2025-01-01,False
momentum_streak_5d__spike_only,50,50,0.08865248226950355,0.46,0.39697751566531514,1.1587558031569174,49.461425418507275,0.9113475177304965,True,False,False,True,2,TJS,spike_only,spike,2,2025-01-01,2026-01-01,False
momentum_streak_5d__spike_only,55,55,0.08943089430894309,0.43636363636363634,0.3956081081081081,1.1030199518670911,48.40679738240426,0.9105691056910569,True,False,False,True,2,TJS,spike_only,spike,2,2026-01-01,2026-09-03,False
momentum_streak_3d__spike_only,68,68,0.3300970873786408,0.3235294117647059,0.36879432624113473,0.8772624434389141,23.41450130113785,0.6699029126213591,True,False,False,True,2,UZS,spike_only,spike,2,2018-01-01,2019-01-01,False
momentum_streak_3d__spike_only,80,80,0.311284046692607,0.3375,0.3719611021069692,0.9073529411764707,24.240500587719605,0.688715953307393,True,False,False,True,2,UZS,spike_only,spike,2,2019-01-01,2020-01-01,False
momentum_streak_3d__spike_only,93,93,0.30194805194805197,0.3225806451612903,0.36283783783783785,0.889049077911936,23.510628590305718,0.698051948051948,True,False,False,True,2,UZS,spike_only,spike,2,2020-01-01,2021-01-01,False
momentum_streak_5d__spike_only,34,34,0.09444444444444444,0.38235294117647056,0.3644805571677307,1.0490352191832146,97.07497018891426,0.9055555555555556,True,False,False,True,2,UZS,spike_only,spike,2,2021-01-01,2022-01-01,False
momentum_streak_5d__spike_only,41,41,0.09975669099756691,0.4146341463414634,0.3647894469812278,1.1366396417788935,83.75633386437602,0.9002433090024331,True,False,False,True,2,UZS,spike_only,spike,2,2022-01-01,2023-01-01,False
momentum_streak_5d__spike_only,48,48,0.1038961038961039,0.3958333333333333,0.3674481514878269,1.077249488752556,96.5334761823945,0.8961038961038961,True,False,False,True,2,UZS,spike_only,spike,2,2023-01-01,2024-01-01,False
momentum_streak_5d__spike_only,56,56,0.10916179337231968,0.39285714285714285,0.3801217038539554,1.0335035828632413,89.82520911944724,0.8908382066276803,True,False,False,True,2,UZS,spike_only,spike,2,2024-01-01,2025-01-01,False
momentum_streak_5d__spike_only,61,61,0.10815602836879433,0.39344262295081966,0.3848138591964615,1.022423214622197,83.47782414997761,0.8918439716312057,True,False,False,True,2,UZS,spike_only,spike,2,2025-01-01,2026-01-01,False
momentum_streak_5d__spike_only,66,66,0.1073170731707317,0.3939393939393939,0.38074324324324327,1.0346589228576806,80.44317473926807,0.8926829268292683,True,False,False,True,2,UZS,spike_only,spike,2,2026-01-01,2026-09-03,False
momentum_streak_3d__spike_only,62,62,0.30097087378640774,0.4032258064516129,0.3184584178498986,1.2661803986028353,78.12494030821624,0.6990291262135923,True,False,True,True,3,AMD,spike_only,spike,3,2018-01-01,2019-01-01,True
momentum_streak_3d__spike_only,71,71,0.27626459143968873,0.4225352112676056,0.33008921330089214,1.2800636744298717,71.86597125860554,0.7237354085603113,True,False,True,True,3,AMD,spike_only,spike,3,2019-01-01,2020-01-01,True
momentum_streak_3d__spike_only,85,85,0.275974025974026,0.38823529411764707,0.32386747802569305,1.1987473903966597,66.6736793607586,0.724025974025974,True,False,False,True,2,AMD,spike_only,spike,3,2020-01-01,2021-01-01,False
momentum_streak_3d__spike_only,100,100,0.2785515320334262,0.35,0.32752613240418116,1.0686170212765957,66.94567586838372,0.7214484679665738,True,False,False,True,2,AMD,spike_only,spike,3,2021-01-01,2022-01-01,False
momentum_streak_3d__spike_only,117,117,0.2846715328467153,0.3504273504273504,0.3284263959390863,1.0669889958916234,62.87422673326398,0.7153284671532847,True,False,False,True,2,AMD,spike_only,spike,3,2022-01-01,2023-01-01,False
momentum_streak_3d__spike_only,134,134,0.29004329004329005,0.34328358208955223,0.33107803337843933,1.0368660783277075,70.75293780345875,0.7099567099567099,True,False,False,True,2,AMD,spike_only,spike,3,2023-01-01,2024-01-01,False
momentum_streak_3d__spike_only,149,149,0.290448343079922,0.3422818791946309,0.34334415584415584,0.9969060878671046,68.2203012901227,0.7095516569200779,True,False,False,True,2,AMD,spike_only,spike,3,2024-01-01,2025-01-01,False
momentum_streak_3d__spike_only,166,166,0.29432624113475175,0.35542168674698793,0.3480825958702065,1.0210843373493974,68.72971052681504,0.7056737588652482,True,False,False,True,2,AMD,spike_only,spike,3,2025-01-01,2026-01-01,False
momentum_streak_3d__spike_only,185,185,0.3008130081300813,0.34054054054054056,0.3430212909766813,0.9927679403541473,67.72704361006151,0.6991869918699187,True,False,False,True,2,AMD,spike_only,spike,3,2026-01-01,2026-09-03,False
momentum_streak_3d__spike_only,64,64,0.3106796116504854,0.328125,0.3225152129817444,1.0173938679245285,83.83349415024652,0.6893203883495146,True,False,False,True,2,KGS,spike_only,spike,3,2018-01-01,2019-01-01,False
momentum_streak_3d__spike_only,74,74,0.28793774319066145,0.32432432432432434,0.3309002433090024,0.9801271860095391,78.14355832685644,0.7120622568093385,True,False,False,True,2,KGS,spike_only,spike,3,2019-01-01,2020-01-01,False
momentum_streak_3d__spike_only,90,90,0.2922077922077922,0.32222222222222224,0.3211629479377958,1.0032982456140351,70.19498729479362,0.7077922077922079,True,False,False,True,2,KGS,spike_only,spike,3,2020-01-01,2021-01-01,False
momentum_streak_3d__spike_only,106,106,0.29526462395543174,0.32075471698113206,0.3205574912891986,1.0006152584085317,75.1258979468901,0.7047353760445683,True,False,False,True,2,KGS,spike_only,spike,3,2021-01-01,2022-01-01,False
momentum_streak_3d__spike_only,124,124,0.30170316301703165,0.29838709677419356,0.32131979695431473,0.9286296692656577,69.98834785794469,0.6982968369829683,True,False,False,True,2,KGS,spike_only,spike,3,2022-01-01,2023-01-01,False
momentum_streak_5d__spike_only,40,40,0.08658008658008658,0.325,0.32476319350473615,1.0007291666666667,105.39875544433907,0.9134199134199135,True,False,False,True,2,KGS,spike_only,spike,3,2023-01-01,2024-01-01,False
momentum_streak_5d__spike_only,46,46,0.08966861598440545,0.30434782608695654,0.3372564935064935,0.9024224349918905,98.02542730327353,0.9103313840155945,True,False,False,True,2,KGS,spike_only,spike,3,2024-01-01,2025-01-01,False
