window,fold_start,fold_end,currency,horizon,signal_count,signals_per_week,truth_now_hit_rate,truth_now_random,truth_now_lift,local_min_hit_rate,local_min_random,local_min_lift,benefit_bps,benefit_ci_low_95,benefit_ci_high_95,benefit_p_value_vs_zero,benefit_significant_5pct,clustered_share_within_5_observations
2025-2026,2025-01-01,2026-08-06,AMD,1,59,0.7096219931271478,0.5423728813559322,0.4910025706940874,1.1046233028662702,0.288135593220339,0.23393316195372751,1.2317005028869437,3.1028566347505975,-8.529865476557571,9.52058456776421,0.26245847176079734,False,0.7796610169491526
2025-2026,2025-01-01,2026-08-06,KGS,1,72,0.865979381443299,0.5138888888888888,0.442159383033419,1.1622254521963824,0.2916666666666667,0.23136246786632392,1.2606481481481482,5.791687743557157,-0.25293515556520063,10.184624046335456,0.036544850498338874,True,0.8611111111111112
2025-2026,2025-01-01,2026-08-06,KZT,1,58,0.6975945017182131,0.5517241379310345,0.5038560411311054,1.095003518648839,0.27586206896551724,0.2390745501285347,1.153874675565443,8.42454081156344,0.1747434756889561,18.321055933359812,0.023255813953488372,True,0.7758620689655172
2025-2026,2025-01-01,2026-08-06,TJS,1,78,0.9381443298969072,0.5384615384615384,0.5038560411311054,1.0686813186813187,0.2692307692307692,0.23393316195372751,1.150887573964497,3.855851674721803,-0.9962819032366097,8.568988112031516,0.06312292358803986,False,0.8076923076923077
2025-2026,2025-01-01,2026-08-06,UZS,1,66,0.7938144329896908,0.6060606060606061,0.4987146529562982,1.2152452358637926,0.30303030303030304,0.2210796915167095,1.3706835799859056,0.7681837461715252,-5.3336468405602835,7.107683224919256,0.4152823920265781,False,0.7878787878787878
2025-2026,2025-01-01,2026-08-06,AMD,3,59,0.7096219931271478,0.3898305084745763,0.31876606683804626,1.222936030617824,0.0847457627118644,0.09511568123393316,0.890975721484196,8.721348457802016,-8.265736797313615,20.810414708550898,0.16279069767441862,False,0.7796610169491526
2025-2026,2025-01-01,2026-08-06,KGS,3,72,0.865979381443299,0.3333333333333333,0.2930591259640103,1.1374269005847952,0.125,0.09768637532133675,1.279605263157895,12.254466541394699,1.6928438200218991,23.594797603591303,0.016611295681063124,True,0.8611111111111112
2025-2026,2025-01-01,2026-08-06,KZT,3,58,0.6975945017182131,0.3620689655172414,0.3110539845758355,1.1640068395554288,0.1206896551724138,0.09768637532133675,1.2354809437386571,18.845865290878656,1.2182636625748202,41.87790922867553,0.016611295681063124,True,0.7758620689655172
2025-2026,2025-01-01,2026-08-06,TJS,3,78,0.9381443298969072,0.4230769230769231,0.3496143958868895,1.2101244343891402,0.1282051282051282,0.09511568123393316,1.3478863478863479,14.569769767299562,1.3320270355594417,24.232301121458995,0.023255813953488372,True,0.8076923076923077
2025-2026,2025-01-01,2026-08-06,UZS,3,66,0.7938144329896908,0.3939393939393939,0.32390745501285345,1.2162097162097163,0.10606060606060606,0.10025706940874037,1.057886557886558,9.919678226806653,-3.7301362920851417,23.305234827641325,0.11295681063122924,False,0.7878787878787878
