currency,calendar_anchor,covered_by_ml,reminder_candidate,reminder_emitted,covered_after_policy
AMD,2025-01-05,False,True,True,True
AMD,2025-01-20,False,True,True,True
AMD,2025-02-05,False,True,True,True
AMD,2025-02-20,False,True,True,True
AMD,2025-03-05,False,True,True,True
AMD,2025-03-20,False,True,True,True
AMD,2025-04-05,False,True,True,True
AMD,2025-04-20,False,True,True,True
AMD,2025-05-05,False,True,True,True
AMD,2025-05-20,True,False,False,True
AMD,2025-06-05,False,True,True,True
AMD,2025-06-20,True,False,False,True
AMD,2025-07-05,False,True,True,True
AMD,2025-07-20,True,False,False,True
AMD,2025-08-05,False,True,True,True
AMD,2025-08-20,False,True,True,True
AMD,2025-09-05,False,True,True,True
AMD,2025-09-20,False,True,True,True
AMD,2025-10-05,False,True,True,True
AMD,2025-10-20,False,True,True,True
AMD,2025-11-05,False,True,True,True
AMD,2025-11-20,False,True,True,True
AMD,2025-12-05,True,False,False,True
AMD,2025-12-20,False,True,True,True
AMD,2026-01-05,False,True,True,True
AMD,2026-01-20,True,False,False,True
AMD,2026-02-05,True,False,False,True
AMD,2026-02-20,True,False,False,True
AMD,2026-03-05,True,False,False,True
AMD,2026-03-20,False,True,True,True
AMD,2026-04-05,False,True,True,True
AMD,2026-04-20,False,True,True,True
AMD,2026-05-05,False,True,True,True
AMD,2026-05-20,True,False,False,True
AMD,2026-06-05,False,True,True,True
AMD,2026-06-20,False,True,True,True
AMD,2026-07-05,False,True,True,True
AMD,2026-07-20,True,False,False,True
KGS,2025-01-05,False,True,True,True
KGS,2025-01-20,True,False,False,True
KGS,2025-02-05,False,True,True,True
KGS,2025-02-20,False,True,True,True
KGS,2025-03-05,False,True,True,True
KGS,2025-03-20,False,True,True,True
KGS,2025-04-05,False,True,True,True
KGS,2025-04-20,False,True,True,True
KGS,2025-05-05,False,True,True,True
KGS,2025-05-20,True,False,False,True
KGS,2025-06-05,True,False,False,True
KGS,2025-06-20,True,False,False,True
KGS,2025-07-05,True,False,False,True
KGS,2025-07-20,True,False,False,True
KGS,2025-08-05,False,True,True,True
KGS,2025-08-20,False,True,True,True
KGS,2025-09-05,False,True,True,True
KGS,2025-09-20,False,True,True,True
KGS,2025-10-05,False,True,True,True
KGS,2025-10-20,False,True,True,True
KGS,2025-11-05,False,True,True,True
KGS,2025-11-20,False,True,True,True
KGS,2025-12-05,True,False,False,True
KGS,2025-12-20,False,True,True,True
KGS,2026-01-05,False,True,True,True
KGS,2026-01-20,True,False,False,True
KGS,2026-02-05,True,False,False,True
KGS,2026-02-20,True,False,False,True
KGS,2026-03-05,False,True,True,True
KGS,2026-03-20,False,True,True,True
KGS,2026-04-05,False,True,True,True
KGS,2026-04-20,False,True,True,True
KGS,2026-05-05,False,True,True,True
KGS,2026-05-20,True,False,False,True
KGS,2026-06-05,False,True,True,True
KGS,2026-06-20,True,False,False,True
KGS,2026-07-05,True,False,False,True
KGS,2026-07-20,True,False,False,True
KZT,2025-01-05,False,True,True,True
KZT,2025-01-20,False,True,True,True
KZT,2025-02-05,False,True,True,True
KZT,2025-02-20,True,False,False,True
KZT,2025-03-05,False,True,True,True
KZT,2025-03-20,False,True,True,True
KZT,2025-04-05,False,True,True,True
KZT,2025-04-20,False,True,True,True
KZT,2025-05-05,False,True,True,True
KZT,2025-05-20,True,False,False,True
KZT,2025-06-05,True,False,False,True
KZT,2025-06-20,True,False,False,True
KZT,2025-07-05,True,False,False,True
KZT,2025-07-20,True,False,False,True
KZT,2025-08-05,True,False,False,True
KZT,2025-08-20,False,True,True,True
KZT,2025-09-05,False,True,True,True
KZT,2025-09-20,False,True,True,True
KZT,2025-10-05,False,True,True,True
KZT,2025-10-20,False,True,True,True
KZT,2025-11-05,False,True,True,True
KZT,2025-11-20,False,True,True,True
KZT,2025-12-05,False,True,True,True
KZT,2025-12-20,False,True,True,True
KZT,2026-01-05,False,True,True,True
KZT,2026-01-20,True,False,False,True
KZT,2026-02-05,False,True,True,True
KZT,2026-02-20,True,False,False,True
KZT,2026-03-05,True,False,False,True
KZT,2026-03-20,False,True,True,True
KZT,2026-04-05,True,False,False,True
KZT,2026-04-20,False,True,True,True
KZT,2026-05-05,False,True,True,True
KZT,2026-05-20,False,True,True,True
KZT,2026-06-05,False,True,True,True
KZT,2026-06-20,True,False,False,True
KZT,2026-07-05,False,True,True,True
KZT,2026-07-20,False,True,True,True
TJS,2025-01-05,False,True,True,True
TJS,2025-01-20,True,False,False,True
TJS,2025-02-05,False,True,True,True
TJS,2025-02-20,False,True,True,True
TJS,2025-03-05,False,True,True,True
TJS,2025-03-20,False,True,True,True
TJS,2025-04-05,False,True,True,True
TJS,2025-04-20,False,True,True,True
TJS,2025-05-05,False,True,True,True
TJS,2025-05-20,True,False,False,True
TJS,2025-06-05,True,False,False,True
TJS,2025-06-20,False,True,True,True
TJS,2025-07-05,True,False,False,True
TJS,2025-07-20,True,False,False,True
TJS,2025-08-05,False,True,True,True
TJS,2025-08-20,True,False,False,True
TJS,2025-09-05,False,True,True,True
TJS,2025-09-20,False,True,True,True
TJS,2025-10-05,False,True,True,True
TJS,2025-10-20,False,True,True,True
TJS,2025-11-05,False,True,True,True
TJS,2025-11-20,False,True,True,True
TJS,2025-12-05,True,False,False,True
TJS,2025-12-20,False,True,True,True
TJS,2026-01-05,False,True,True,True
TJS,2026-01-20,True,False,False,True
TJS,2026-02-05,True,False,False,True
TJS,2026-02-20,True,False,False,True
TJS,2026-03-05,True,False,False,True
TJS,2026-03-20,False,True,True,True
TJS,2026-04-05,False,True,True,True
TJS,2026-04-20,False,True,True,True
TJS,2026-05-05,False,True,True,True
TJS,2026-05-20,True,False,False,True
TJS,2026-06-05,False,True,True,True
TJS,2026-06-20,False,True,True,True
TJS,2026-07-05,True,False,False,True
TJS,2026-07-20,True,False,False,True
UZS,2025-01-05,False,True,True,True
UZS,2025-01-20,True,False,False,True
UZS,2025-02-05,False,True,True,True
UZS,2025-02-20,False,True,True,True
UZS,2025-03-05,False,True,True,True
UZS,2025-03-20,False,True,True,True
UZS,2025-04-05,False,True,True,True
UZS,2025-04-20,False,True,True,True
UZS,2025-05-05,True,False,False,True
UZS,2025-05-20,True,False,False,True
UZS,2025-06-05,True,False,False,True
UZS,2025-06-20,True,False,False,True
UZS,2025-07-05,True,False,False,True
UZS,2025-07-20,True,False,False,True
UZS,2025-08-05,False,True,True,True
UZS,2025-08-20,False,True,True,True
UZS,2025-09-05,True,False,False,True
UZS,2025-09-20,False,True,True,True
UZS,2025-10-05,False,True,True,True
UZS,2025-10-20,False,True,True,True
UZS,2025-11-05,False,True,True,True
UZS,2025-11-20,False,True,True,True
UZS,2025-12-05,True,False,False,True
UZS,2025-12-20,False,True,True,True
UZS,2026-01-05,False,True,True,True
UZS,2026-01-20,True,False,False,True
UZS,2026-02-05,True,False,False,True
UZS,2026-02-20,True,False,False,True
UZS,2026-03-05,True,False,False,True
UZS,2026-03-20,False,True,True,True
UZS,2026-04-05,False,True,True,True
UZS,2026-04-20,False,True,True,True
UZS,2026-05-05,False,True,True,True
UZS,2026-05-20,False,True,True,True
UZS,2026-06-05,False,True,True,True
UZS,2026-06-20,True,False,False,True
UZS,2026-07-05,True,False,False,True
UZS,2026-07-20,False,True,True,True
