stream,currency,signal_count,signals_per_week,active_week_count,total_week_count,active_week_share,empty_week_share,active_month_share,empty_month_share,share_gap_le_2_observations,share_gap_le_5_observations,share_gap_le_1_calendar_day,max_gap_calendar_days,gap_calendar_days_q90,gap_calendar_days_q95,gap_calendar_days_q99,max_pushes_in_week,max_pushes_in_month,weekly_count_cv,calendar_share,fallback_share,clustering_pass_operational
ML raw,AMD,59,0.7096219931271478,24,84,0.2857142857142857,0.7142857142857143,0.6842105263157895,0.3157894736842105,0.6779661016949152,0.7796610169491526,0.5084745762711864,92.0,21.0,43.0,92.0,5,13,1.8593355576537178,0.0,0.0,False
ML raw,KGS,72,0.865979381443299,28,84,0.3333333333333333,0.6666666666666667,0.6842105263157895,0.3157894736842105,0.7777777777777778,0.8611111111111112,0.5,122.0,21.0,47.0,122.0,5,13,1.6612361327099623,0.0,0.0,False
ML raw,KZT,58,0.6975945017182131,24,84,0.2857142857142857,0.7142857142857143,0.631578947368421,0.368421052631579,0.7241379310344828,0.7758620689655172,0.5172413793103449,98.0,32.0,47.0,98.0,5,14,1.9595935487991583,0.0,0.0,False
ML raw,TJS,78,0.9381443298969072,31,84,0.36904761904761907,0.6309523809523809,0.7894736842105263,0.21052631578947367,0.7692307692307693,0.8076923076923077,0.5512820512820513,122.0,28.0,34.0,122.0,5,13,1.5840331132810679,0.0,0.0,False
ML raw,UZS,66,0.7938144329896908,28,84,0.3333333333333333,0.6666666666666667,0.7368421052631579,0.26315789473684215,0.7727272727272727,0.7878787878787878,0.4090909090909091,106.0,19.0,47.0,106.0,5,14,1.6888267572463547,0.0,0.0,False
ML weekly cap,AMD,42,0.5051546391752577,24,84,0.2857142857142857,0.7142857142857143,0.6842105263157895,0.3157894736842105,0.47619047619047616,0.6904761904761905,0.35714285714285715,92.0,24.0,43.0,92.0,2,7,1.6574039796643512,0.0,0.0,False
ML weekly cap,KGS,48,0.577319587628866,28,84,0.3333333333333333,0.6666666666666667,0.6842105263157895,0.3157894736842105,0.4375,0.7708333333333334,0.3333333333333333,122.0,34.0,61.0,122.0,2,8,1.4949714910446104,0.0,0.0,False
ML weekly cap,KZT,39,0.4690721649484536,24,84,0.2857142857142857,0.7142857142857143,0.631578947368421,0.368421052631579,0.48717948717948717,0.6666666666666666,0.3076923076923077,98.0,41.0,89.0,98.0,2,7,1.68656875083101,0.0,0.0,False
ML weekly cap,TJS,54,0.6494845360824743,31,84,0.36904761904761907,0.6309523809523809,0.7894736842105263,0.21052631578947367,0.5370370370370371,0.7222222222222222,0.35185185185185186,122.0,29.0,41.0,122.0,2,8,1.37960754259683,0.0,0.0,False
ML weekly cap,UZS,46,0.5532646048109966,28,84,0.3333333333333333,0.6666666666666667,0.7368421052631579,0.26315789473684215,0.5652173913043478,0.6956521739130435,0.2608695652173913,106.0,44.0,55.0,106.0,2,8,1.5107513209756547,0.0,0.0,False
ML weekly cap + day gap,AMD,34,0.4089347079037801,24,84,0.2857142857142857,0.7142857142857143,0.6842105263157895,0.3157894736842105,0.3235294117647059,0.6176470588235294,0.0,92.0,35.0,48.0,92.0,2,7,1.7202043039638233,0.0,0.0,False
ML weekly cap + day gap,KGS,43,0.5171821305841925,28,84,0.3333333333333333,0.6666666666666667,0.6842105263157895,0.3157894736842105,0.37209302325581395,0.7674418604651163,0.0,122.0,35.0,62.0,122.0,2,7,1.5311092437510532,0.0,0.0,False
ML weekly cap + day gap,KZT,35,0.4209621993127148,24,84,0.2857142857142857,0.7142857142857143,0.631578947368421,0.368421052631579,0.37142857142857144,0.6285714285714286,0.0,98.0,41.0,89.0,98.0,2,7,1.7156964935067405,0.0,0.0,False
ML weekly cap + day gap,TJS,45,0.5412371134020619,31,84,0.36904761904761907,0.6309523809523809,0.7894736842105263,0.21052631578947367,0.4222222222222222,0.6444444444444445,0.0,122.0,33.0,41.0,122.0,2,7,1.4326840782270722,0.0,0.0,False
ML weekly cap + day gap,UZS,44,0.5292096219931272,28,84,0.3333333333333333,0.6666666666666667,0.7368421052631579,0.26315789473684215,0.5227272727272727,0.6818181818181818,0.0,106.0,41.0,55.0,106.0,2,7,1.524861184822472,0.0,0.0,False
Strict total cap,AMD,61,0.7336769759450172,48,84,0.5714285714285714,0.4285714285714286,1.0,0.0,0.2459016393442623,0.47540983606557374,0.03278688524590164,20.0,16.0,16.0,20.0,2,7,0.9877259187577451,0.45901639344262296,0.29508196721311475,True
Strict total cap,KGS,67,0.8058419243986255,50,84,0.5952380952380952,0.40476190476190477,1.0,0.0,0.26865671641791045,0.5522388059701493,0.0,21.0,16.0,19.0,21.0,2,7,0.9490392757516639,0.3582089552238806,0.22388059701492538,True
Strict total cap,KZT,61,0.7336769759450172,48,84,0.5714285714285714,0.4285714285714286,1.0,0.0,0.2459016393442623,0.45901639344262296,0.01639344262295082,20.0,16.0,16.0,20.0,2,7,0.9877259187577451,0.4262295081967213,0.32786885245901637,True
Strict total cap,TJS,69,0.8298969072164949,53,84,0.6309523809523809,0.36904761904761907,1.0,0.0,0.30434782608695654,0.5362318840579711,0.014492753623188406,21.0,16.0,18.0,21.0,2,7,0.8896066572115354,0.34782608695652173,0.2608695652173913,True
Strict total cap,UZS,67,0.8058419243986255,49,84,0.5833333333333334,0.41666666666666663,1.0,0.0,0.3582089552238806,0.5223880597014925,0.014925373134328358,20.0,16.0,19.0,20.0,2,7,0.9687885551227745,0.34328358208955223,0.208955223880597,True
ML cap + mandatory 5/20,AMD,73,0.8780068728522337,52,84,0.6190476190476191,0.38095238095238093,1.0,0.0,0.3013698630136986,0.5753424657534246,0.0821917808219178,16.0,15.0,16.0,16.0,3,9,0.9909802646547126,0.5342465753424658,0.3972602739726027,True
ML cap + mandatory 5/20,KGS,82,0.9862542955326461,54,84,0.6428571428571429,0.3571428571428571,1.0,0.0,0.4024390243902439,0.6463414634146342,0.0975609756097561,16.0,15.0,16.0,16.0,3,9,0.9669465495100827,0.47560975609756095,0.3170731707317073,True
ML cap + mandatory 5/20,KZT,74,0.8900343642611684,51,84,0.6071428571428571,0.3928571428571429,1.0,0.0,0.36486486486486486,0.5405405405405406,0.12162162162162163,16.0,15.0,16.0,16.0,3,9,1.0184218496696071,0.527027027027027,0.3783783783783784,True
ML cap + mandatory 5/20,TJS,84,1.0103092783505154,55,84,0.6547619047619048,0.34523809523809523,1.0,0.0,0.4166666666666667,0.6428571428571429,0.14285714285714285,16.0,15.0,16.0,16.0,3,9,0.918353686754675,0.4642857142857143,0.36904761904761907,True
ML cap + mandatory 5/20,UZS,83,0.9982817869415808,52,84,0.6190476190476191,0.38095238095238093,1.0,0.0,0.4578313253012048,0.6265060240963856,0.14457831325301204,16.0,15.0,16.0,16.0,3,9,1.0119756106938387,0.46987951807228917,0.3253012048192771,True
