window,fold_start,fold_end,currency,horizon,signal_count,signals_per_week,truth_now_hit_rate,truth_now_random,truth_now_lift,local_min_hit_rate,local_min_random,local_min_lift,benefit_bps,benefit_ci_low_95,benefit_ci_high_95,benefit_p_value_vs_zero,benefit_significant_5pct,clustered_share_within_5_observations
2023-2026,2023-01-01,2026-08-19,AMD,10,192,1.0135746606334843,0.3385416666666667,0.25755879059350506,1.3144248188405796,0.036458333333333336,0.032474804031354984,1.1226652298850575,61.99213811350703,30.150778849698867,88.10091518018912,0.0033222591362126247,True,0.828125
2023-2026,2023-01-01,2026-08-19,KGS,10,191,1.0082956259426847,0.3298429319371728,0.24636058230683092,1.3388624464540695,0.031413612565445025,0.027995520716685332,1.1220942408376962,56.28894437423297,38.6351206658682,73.95625409845874,0.0033222591362126247,True,0.8115183246073299
2023-2026,2023-01-01,2026-08-19,KZT,10,165,0.8710407239819005,0.296969696969697,0.22620380739081747,1.312841284128413,0.03636363636363636,0.0335946248600224,1.0824242424242423,55.86971083803025,20.303508509796316,86.77318320210424,0.0033222591362126247,True,0.8
2023-2026,2023-01-01,2026-08-19,TJS,10,201,1.0610859728506787,0.3383084577114428,0.2620380739081747,1.291066037334694,0.029850746268656716,0.029115341545352745,1.0252583237657864,46.79196973078397,26.542704017865873,66.22694032772989,0.0033222591362126247,True,0.7960199004975125
2023-2026,2023-01-01,2026-08-19,UZS,10,189,0.9977375565610861,0.3386243386243386,0.24524076147816348,1.3807832620618008,0.026455026455026454,0.030235162374020158,0.8749755046051342,50.80558500090023,30.753971845165694,69.58860219970899,0.0033222591362126247,True,0.798941798941799
2024-2026,2024-01-01,2026-08-19,AMD,10,138,1.0052029136316338,0.3333333333333333,0.23374613003095976,1.4260485651214128,0.028985507246376812,0.034055727554179564,0.8511198945981555,45.38796421542844,17.170322652082845,76.30616549257087,0.006644518272425249,True,0.8260869565217391
2024-2026,2024-01-01,2026-08-19,KGS,10,140,1.0197710718002082,0.3,0.2260061919504644,1.3273972602739725,0.02142857142857143,0.029411764705882353,0.7285714285714285,44.89040317419072,27.981526575339032,63.85633939873345,0.0033222591362126247,True,0.8428571428571429
2024-2026,2024-01-01,2026-08-19,KZT,10,124,0.903225806451613,0.25,0.2043343653250774,1.2234848484848484,0.03225806451612903,0.03560371517027864,0.9060308555399719,41.08969529555536,2.8420862775448654,79.8314584854809,0.023255813953488372,True,0.8225806451612904
2024-2026,2024-01-01,2026-08-19,TJS,10,150,1.0926118626430803,0.34,0.25541795665634676,1.3311515151515152,0.02,0.029411764705882353,0.68,41.426869965672985,18.817194408837707,62.94790118480752,0.0033222591362126247,True,0.8066666666666666
2024-2026,2024-01-01,2026-08-19,UZS,10,139,1.012486992715921,0.31654676258992803,0.22291021671826625,1.4200639488409272,0.014388489208633094,0.030959752321981424,0.46474820143884893,40.300549864135526,16.30000483633907,63.749390836151335,0.0033222591362126247,True,0.8273381294964028
2025-2026,2025-01-01,2026-08-19,AMD,10,59,0.6941176470588235,0.3220338983050847,0.1984924623115578,1.6223986269040978,0.01694915254237288,0.035175879396984924,0.48184019370460046,46.47342540760155,14.50052625400042,71.5153864765237,0.006644518272425249,True,0.7796610169491526
2025-2026,2025-01-01,2026-08-19,KGS,10,72,0.8470588235294118,0.2361111111111111,0.18341708542713567,1.2872907153729072,0.013888888888888888,0.02763819095477387,0.5025252525252525,48.1227839494491,22.73262334728325,70.2868169707188,0.0033222591362126247,True,0.8611111111111112
2025-2026,2025-01-01,2026-08-19,KZT,10,58,0.6823529411764706,0.27586206896551724,0.20351758793969849,1.3554704129416772,0.05172413793103448,0.035175879396984924,1.4704433497536946,71.93779712133677,13.131730514598502,123.0508834127561,0.016611295681063124,True,0.7758620689655172
2025-2026,2025-01-01,2026-08-19,TJS,10,78,0.9176470588235294,0.32051282051282054,0.23115577889447236,1.3865663322185062,0.02564102564102564,0.02763819095477387,0.9277389277389276,50.80378643536087,19.024144624357703,76.6999313976718,0.0033222591362126247,True,0.8076923076923077
2025-2026,2025-01-01,2026-08-19,UZS,10,66,0.7764705882352941,0.3333333333333333,0.1984924623115578,1.6793248945147679,0.015151515151515152,0.02512562814070352,0.603030303030303,58.574709344763164,23.09636000950134,95.11927361600296,0.006644518272425249,True,0.7878787878787878
2026-2026,2026-01-01,2026-08-19,AMD,10,38,1.156521739130435,0.39473684210526316,0.2847682119205298,1.3861689106487147,0.02631578947368421,0.026490066225165563,0.9934210526315789,50.91322841080059,-6.75293406321974,82.89370116730302,0.046511627906976744,False,0.7894736842105263
2026-2026,2026-01-01,2026-08-19,KGS,10,35,1.065217391304348,0.34285714285714286,0.26490066225165565,1.2942857142857143,0.0,0.026490066225165563,0.0,77.1554207463843,33.20977141421065,105.24788473111258,0.006644518272425249,True,0.8571428571428571
2026-2026,2026-01-01,2026-08-19,KZT,10,24,0.7304347826086958,0.5,0.32450331125827814,1.5408163265306123,0.0,0.026490066225165563,0.0,85.15300754526329,-11.64251125304122,217.90279977110166,0.059800664451827246,False,0.7083333333333334
2026-2026,2026-01-01,2026-08-19,TJS,10,46,1.4000000000000001,0.34782608695652173,0.271523178807947,1.2810180275715801,0.021739130434782608,0.026490066225165563,0.8206521739130435,70.74840030262278,2.837837561105232,108.63340520204756,0.026578073089700997,True,0.8478260869565217
2026-2026,2026-01-01,2026-08-19,UZS,10,35,1.065217391304348,0.5142857142857142,0.32450331125827814,1.5848396501457724,0.0,0.019867549668874173,0.0,82.98387434951424,19.451176085908457,127.06783466387711,0.009966777408637873,True,0.8571428571428571
