currency,fast_date,fast_price,confirmed,slow_date,slow_price,slow_observation_index,delay_observations,delay_calendar_days,waiting_cost_bps,confirmation_families
AMD,2025-05-20,0.208218,True,2025-05-22,0.207118,3797.0,2.0,2.0,-52.82924627073471,level
AMD,2025-05-27,0.207369,True,2025-05-28,0.207143,3801.0,1.0,1.0,-10.89844673022533,level
AMD,2025-06-18,0.204834,True,2025-06-20,0.203955,3816.0,2.0,2.0,-42.9127976800725,corridor_exit_down
AMD,2025-06-20,0.203955,True,2025-06-21,0.203541,3817.0,1.0,1.0,-20.298595278369636,level+momentum
AMD,2025-06-25,0.203281,True,2025-06-27,0.203195,3821.0,2.0,2.0,-4.2305970553080385,level
AMD,2025-06-27,0.203195,True,2025-07-03,0.204556,3825.0,4.0,6.0,66.97999458648019,level
AMD,2025-07-15,0.20402,True,2025-07-15,0.20402,3833.0,0.0,0.0,0.0,level
AMD,2025-07-19,0.2038179999999999,True,2025-07-23,0.203371,3839.0,2.0,4.0,-21.931330893242283,level
AMD,2025-07-23,0.203371,False,,,,,,,
AMD,2025-08-27,0.210522,True,2025-08-28,0.210444,3865.0,1.0,1.0,-3.705075954056891,momentum
AMD,2025-11-27,0.206219,True,2025-11-27,0.206219,3929.0,0.0,0.0,0.0,corridor_exit_down
AMD,2025-12-03,0.203187,True,2025-12-03,0.203187,3933.0,0.0,0.0,0.0,level
AMD,2026-01-20,0.205227,True,2026-01-23,0.200586,3962.0,3.0,3.0,-226.13983540177517,level
AMD,2026-01-23,0.200586,True,2026-01-24,0.200292,3963.0,1.0,1.0,-14.657054829348981,momentum
AMD,2026-02-07,0.204008,False,,,,,,,
AMD,2026-02-10,0.20544,False,,,,,,,
AMD,2026-02-12,0.205199,True,2026-02-19,0.201627,3981.0,5.0,7.0,-174.07492239240872,level
AMD,2026-02-18,0.203643,False,,,,,,,
AMD,2026-02-20,0.203323,False,,,,,,,
AMD,2026-02-25,0.202822,False,,,,,,,
AMD,2026-02-27,0.204545,False,,,,,,,
AMD,2026-03-05,0.205899,False,,,,,,,
AMD,2026-03-13,0.209483,False,,,,,,,
AMD,2026-03-24,0.21696,True,2026-03-25,0.214567,4003.0,1.0,1.0,-110.29682890855375,momentum
AMD,2026-03-28,0.215134,True,2026-04-04,0.211495,4011.0,5.0,7.0,-169.15038998949527,momentum
AMD,2026-04-09,0.208079,True,2026-04-11,0.204861,4016.0,2.0,2.0,-154.65280013840842,level+momentum
AMD,2026-05-22,0.192438,True,2026-05-23,0.193518,4044.0,1.0,1.0,56.121971751941224,level
AMD,2026-06-10,0.194685,True,2026-06-10,0.194685,4056.0,0.0,0.0,0.0,level+momentum
AMD,2026-06-16,0.196846,False,,,,,,,
AMD,2026-07-11,0.2086799999999999,False,,,,,,,
AMD,2026-07-22,0.2142299999999999,False,,,,,,,
AMD,2026-07-24,0.21425,False,,,,,,,
AMD,2026-07-28,0.212743,False,,,,,,,
AMD,2026-07-30,0.216704,False,,,,,,,
KGS,2025-01-18,1.17111,True,2025-01-23,1.12385,3716.0,3.0,5.0,-403.54876997037104,momentum
KGS,2025-05-20,0.919539,True,2025-05-21,0.918325,3796.0,1.0,1.0,-13.20226765803345,level
KGS,2025-05-22,0.911984,True,2025-05-22,0.911984,3797.0,0.0,0.0,0.0,corridor_exit_down+momentum
KGS,2025-05-27,0.910907,True,2025-05-27,0.910907,3800.0,0.0,0.0,0.0,level
KGS,2025-05-30,0.897621,True,2025-05-31,0.898995,3804.0,1.0,1.0,15.307128509693957,level
KGS,2025-06-04,0.901714,True,2025-06-06,0.904828,3808.0,2.0,2.0,34.53423147472323,level
KGS,2025-06-07,0.905321,True,2025-06-12,0.903405,3812.0,3.0,5.0,-21.16376401298581,level
KGS,2025-06-17,0.897732,True,2025-06-17,0.897732,3813.0,0.0,0.0,0.0,corridor_exit_down
KGS,2025-06-20,0.897472,True,2025-06-20,0.897472,3816.0,0.0,0.0,0.0,level
KGS,2025-06-25,0.8982720000000001,True,2025-06-26,0.896414,3820.0,1.0,1.0,-20.68415802785828,level
KGS,2025-06-27,0.8959900000000001,True,2025-07-02,0.8967189999999999,3824.0,3.0,5.0,8.136251520662885,level
KGS,2025-07-01,0.898194,False,,,,,,,
KGS,2025-07-03,0.899417,True,2025-07-09,0.893862,3829.0,4.0,6.0,-61.76223042259621,corridor_exit_down+level
KGS,2025-07-08,0.900154,True,2025-07-15,0.8962640000000001,3833.0,5.0,7.0,-43.2148276850397,level
KGS,2025-07-15,0.8962640000000001,True,2025-07-19,0.895516,3837.0,4.0,4.0,-8.345755268537314,level
KGS,2025-07-17,0.891464,True,2025-07-23,0.892947,3839.0,4.0,6.0,16.635556791972927,level
KGS,2025-07-23,0.892947,False,,,,,,,
KGS,2025-08-27,0.921887,True,2025-08-28,0.920917,3865.0,1.0,1.0,-10.52189693530825,momentum
KGS,2025-09-26,0.956054,True,2025-09-30,0.948121,3888.0,2.0,4.0,-82.97648459187457,corridor_exit_down
KGS,2025-11-27,0.898732,True,2025-11-28,0.8948,3930.0,1.0,1.0,-43.750528522406015,level
KGS,2025-11-29,0.89455,True,2025-11-29,0.89455,3931.0,0.0,0.0,0.0,corridor_exit_down+momentum
KGS,2025-12-03,0.885799,True,2025-12-03,0.885799,3933.0,0.0,0.0,0.0,momentum
KGS,2026-01-20,0.889178,True,2026-01-20,0.889178,3959.0,0.0,0.0,0.0,level
KGS,2026-01-23,0.8695050000000001,True,2026-01-23,0.8695050000000001,3962.0,0.0,0.0,0.0,level
KGS,2026-01-27,0.8691840000000001,True,2026-01-27,0.8691840000000001,3964.0,0.0,0.0,0.0,level
KGS,2026-02-06,0.8753839999999999,True,2026-02-06,0.8753839999999999,3972.0,0.0,0.0,0.0,level+momentum
KGS,2026-02-11,0.882894,True,2026-02-11,0.882894,3975.0,0.0,0.0,0.0,level
KGS,2026-02-13,0.8826529999999999,True,2026-02-17,0.8761589999999999,3979.0,2.0,4.0,-73.57364672187173,corridor_exit_down+level
KGS,2026-02-18,0.877517,True,2026-02-18,0.877517,3980.0,0.0,0.0,0.0,level
KGS,2026-02-20,0.8763920000000001,True,2026-02-21,0.877666,3983.0,1.0,1.0,14.53687391030467,level
KGS,2026-02-25,0.8763200000000001,True,2026-02-25,0.8763200000000001,3984.0,0.0,0.0,0.0,level
KGS,2026-02-27,0.881896,True,2026-02-28,0.8836320000000001,3987.0,1.0,1.0,19.684860799913384,level
KGS,2026-05-20,0.8152379999999999,True,2026-05-20,0.8152379999999999,4041.0,0.0,0.0,0.0,level
KGS,2026-06-10,0.820264,True,2026-06-10,0.820264,4056.0,0.0,0.0,0.0,level+momentum
KGS,2026-06-17,0.8249150000000001,True,2026-06-17,0.8249150000000001,4060.0,0.0,0.0,0.0,level
KGS,2026-07-08,0.870507,False,,,,,,,
KGS,2026-07-10,0.868287,False,,,,,,,
KGS,2026-07-15,0.886122,False,,,,,,,
KGS,2026-07-22,0.898273,True,2026-07-25,0.89229,4088.0,3.0,3.0,-66.60558649764559,corridor_exit_down+momentum
KGS,2026-07-24,0.896568,False,,,,,,,
KGS,2026-07-28,0.892135,False,,,,,,,
KGS,2026-07-30,0.907456,False,,,,,,,
KGS,2026-08-04,0.915594,False,,,,,,,
KZT,2025-02-21,0.175752,True,2025-02-21,0.175752,3738.0,0.0,0.0,0.0,momentum
KZT,2025-05-21,0.157225,True,2025-05-21,0.157225,3797.0,0.0,0.0,0.0,momentum
KZT,2025-05-23,0.156164,True,2025-05-28,0.155795,3802.0,3.0,5.0,-23.629005404575132,level
KZT,2025-05-27,0.155937,True,2025-05-29,0.155427,3803.0,2.0,2.0,-32.705515689027685,momentum
KZT,2025-05-30,0.153117,True,2025-05-30,0.153117,3804.0,0.0,0.0,0.0,corridor_exit_down
KZT,2025-06-04,0.1542029999999999,False,,,,,,,
KZT,2025-06-20,0.151277,True,2025-06-21,0.151095,3818.0,1.0,1.0,-12.030910184627208,level+momentum
KZT,2025-06-24,0.150109,True,2025-06-25,0.149752,3820.0,1.0,1.0,-23.782717891664973,momentum
KZT,2025-06-26,0.150591,True,2025-06-27,0.150842,3822.0,1.0,1.0,16.667662742129163,level
KZT,2025-07-01,0.1509029999999999,False,,,,,,,
KZT,2025-07-03,0.151464,True,2025-07-09,0.150465,3830.0,4.0,6.0,-65.95626683568389,level+momentum
KZT,2025-07-15,0.150447,True,2025-07-16,0.148707,3835.0,1.0,1.0,-115.65534706574398,corridor_exit_down+level
KZT,2025-07-17,0.148247,True,2025-07-22,0.146788,3839.0,3.0,5.0,-98.41683136926792,level
KZT,2025-07-22,0.146788,True,2025-07-25,0.14641,3842.0,3.0,3.0,-25.751423822110155,corridor_exit_down
KZT,2025-07-24,0.147469,True,2025-07-26,0.146795,3843.0,2.0,2.0,-45.70452095016498,level
KZT,2025-07-29,0.14605,True,2025-08-05,0.146664,3849.0,5.0,7.0,42.04039712426999,level
KZT,2025-08-05,0.146664,True,2025-08-12,0.147672,3854.0,5.0,7.0,68.72852233676952,momentum
KZT,2025-08-12,0.147672,True,2025-08-14,0.146791,3856.0,2.0,2.0,-59.659244812827474,momentum
KZT,2025-08-29,0.149344,False,,,,,,,
KZT,2025-10-15,0.148686,True,2025-10-16,0.146369,3901.0,1.0,1.0,-155.83175282138262,corridor_exit_down+level
KZT,2026-01-21,0.1527079999999999,True,2026-01-23,0.150066,3963.0,2.0,2.0,-173.0099274432184,corridor_exit_down+level
KZT,2026-01-24,0.150135,False,,,,,,,
KZT,2026-01-27,0.151008,False,,,,,,,
KZT,2026-02-21,0.156902,False,,,,,,,
KZT,2026-03-04,0.154416,False,,,,,,,
KZT,2026-03-06,0.156433,False,,,,,,,
KZT,2026-04-07,0.167342,True,2026-04-10,0.16376,4016.0,3.0,3.0,-214.05265862724286,corridor_exit_down
